numero_processo,numero_cnj,classe_codigo,classe_nome,assuntos,data_ajuizamento,ultima_atualizacao,qtd_movimentos,grau,formato,link_consulta
00232931020124025101,0023293-10.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ,2012-05-09,2024-07-05T23:47:44.720000Z,14,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00248988820124025101,0024898-88.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-05-10,2024-07-05T23:47:58.318000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
04901965920124025101,0490196-59.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Crimes contra as Telecomunicações,2012-05-17,2024-07-06T00:36:40.806000Z,9,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00262845620124025101,0026284-56.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Crimes contra a Ordem Tributária,2012-05-18,2024-07-05T23:48:19.780000Z,7,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00269340620124025101,0026934-06.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Crimes contra a Ordem Tributária,2012-05-22,2024-07-05T23:48:05.151000Z,32,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00273584820124025101,0027358-48.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Crimes contra a Ordem Tributária,2012-05-25,2024-07-05T23:47:34.828000Z,8,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00270553420124025101,0027055-34.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-05-30,2024-07-05T23:48:19.162000Z,2,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00270735520124025101,0027073-55.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-05-30,2024-07-05T23:48:36.127000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00274433420124025101,0027443-34.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Estelionato,2012-06-04,2024-07-05T23:48:40.169000Z,5,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00274919020124025101,0027491-90.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Inserção de dados falsos em sistema de informações ,2012-06-11,2024-07-05T23:20:25.989000Z,14,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00287589720124025101,0028758-97.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Crimes contra a Ordem Tributária,2012-06-14,2024-07-05T23:48:34.704000Z,11,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00304547120124025101,0030454-71.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-06-29,2024-07-05T23:49:02.318000Z,2,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00308262020124025101,0030826-20.2012.4.02.5101,280,Auto de Prisão em Flagrante,Contrabando ou descaminho ,2012-07-04,2024-07-05T23:49:17.144000Z,5,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00307560320124025101,0030756-03.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-07-04,2024-07-05T23:48:48.157000Z,2,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00309171320124025101,0030917-13.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ,2012-07-09,2024-07-05T23:22:07.851000Z,16,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00008521720124025107,0000852-17.2012.4.02.5107,279,Inquérito Policial,Contravenções Penais,2012-07-11,2024-07-06T01:00:00.017000Z,2,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00311397820124025101,0031139-78.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Apropriação indébita Previdenciária ,2012-07-12,2025-10-14T08:14:40.751000Z,45,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00019111020124025117,0001911-10.2012.4.02.5117,279,Inquérito Policial,Crimes contra o Sistema Financeiro Nacional,2012-07-18,2024-07-05T20:28:41.533000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00311934420124025101,0031193-44.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-07-18,2024-07-05T23:48:12.680000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00317174120124025101,0031717-41.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-07-19,2024-07-05T23:47:46.537000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00318958720124025101,0031895-87.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Falsificação de documento público,2012-07-20,2024-07-05T23:49:30.460000Z,10,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00312445520124025101,0031244-55.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Contravenções Penais,2012-07-26,2024-07-05T23:49:27.599000Z,8,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00023227420124025110,0002322-74.2012.4.02.5110,279,Inquérito Policial,Contravenções Penais,2012-07-30,2024-07-05T22:53:31.130000Z,5,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00313268620124025101,0031326-86.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-07-31,2024-07-05T23:49:02.420000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00008314420124025106,0000831-44.2012.4.02.5106,279,Inquérito Policial,Contravenções Penais,2012-08-02,2024-07-06T01:00:20.929000Z,1,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00023720320124025110,0002372-03.2012.4.02.5110,279,Inquérito Policial,Contravenções Penais,2012-08-07,2024-07-05T21:04:42.837000Z,4,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00347191920124025101,0034719-19.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-08-09,2024-07-05T23:20:50.910000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00348509120124025101,0034850-91.2012.4.02.5101,279,Inquérito Policial,Sonegação de contribuição previdenciária ,2012-08-09,2024-07-05T23:49:44.440000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00345633120124025101,0034563-31.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Uso de documento falso ,2012-08-15,2024-07-05T23:49:10.388000Z,20,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00350656720124025101,0035065-67.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Moeda Falsa / Assimilados,2012-08-16,2024-07-05T23:22:05.679000Z,9,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
04903048820124025101,0490304-88.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ; Crimes contra a Economia Popular,2012-08-19,2024-07-06T00:36:42.857000Z,9,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00351262520124025101,0035126-25.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Inserção de dados falsos em sistema de informações ,2012-08-23,2024-07-05T23:49:09.374000Z,5,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
04903091320124025101,0490309-13.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Contravenções Penais,2012-08-26,2024-07-06T00:36:10.397000Z,11,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00360503620124025101,0036050-36.2012.4.02.5101,279,Inquérito Policial,Crimes contra as Telecomunicações,2012-08-29,2024-07-05T23:49:39.911000Z,8,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00370333520124025101,0037033-35.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-09-04,2024-07-05T23:22:04.101000Z,2,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00370178120124025101,0037017-81.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-09-04,2025-04-14T14:28:45.348000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00370169620124025101,0037016-96.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-09-04,2024-07-05T23:49:16.991000Z,2,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00376716820124025101,0037671-68.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ,2012-09-05,2024-07-05T23:49:21.309000Z,9,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00371762420124025101,0037176-24.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Crimes contra a Ordem Tributária,2012-09-10,2026-09-15T22:54:18.138000Z,58,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00374733120124025101,0037473-31.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Uso de documento falso ,2012-09-12,2024-07-05T23:49:43.314000Z,31,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00356017820124025101,0035601-78.2012.4.02.5101,279,Inquérito Policial,Peculato; Prevaricação,2012-09-24,2024-07-05T23:49:52.743000Z,9,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00356208420124025101,0035620-84.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-09-25,2024-07-05T23:49:42.855000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00384225520124025101,0038422-55.2012.4.02.5101,333,Insanidade Mental do Acusado,Contravenções Penais,2012-09-27,2024-07-05T23:22:17.240000Z,4,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00390313820124025101,0039031-38.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-09-28,2024-09-26T20:51:11.882000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00397640420124025101,0039764-04.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Receptação,2012-10-08,2024-07-05T23:50:22.666000Z,12,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00396263720124025101,0039626-37.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Crimes contra a Ordem Tributária,2012-10-08,2024-07-05T23:48:56.020000Z,7,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00552000320124025101,0055200-03.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-10-10,2024-07-06T00:12:52.977000Z,2,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00553031020124025101,0055303-10.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Crimes contra a Ordem Tributária,2012-10-16,2024-07-06T00:12:09.980000Z,15,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00392123920124025101,0039212-39.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Homicídio Qualificado,2012-10-16,2024-07-05T23:50:40.995000Z,17,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00030545520124025110,0003054-55.2012.4.02.5110,279,Inquérito Policial,Contravenções Penais,2012-10-18,2024-07-05T21:07:52.940000Z,2,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00009991620124025116,0000999-16.2012.4.02.5116,279,Inquérito Policial,Contravenções Penais,2012-10-25,2024-07-06T01:00:58.261000Z,4,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00574328520124025101,0057432-85.2012.4.02.5101,279,Inquérito Policial,Estelionato Majorado ,2012-11-06,2024-09-26T21:00:09.908000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
50645200620234025101,5064520-06.2023.4.02.5101,283,Ação Penal - Procedimento Ordinário,"Crimes de &quot;Lavagem&quot; ou Ocultação de Bens, Direitos ou Valores",2012-11-06,2024-07-05T22:50:40.565000Z,4,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00578173320124025101,0057817-33.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,"Crimes de &quot;Lavagem&quot; ou Ocultação de Bens, Direitos ou Valores",2012-11-06,2025-11-13T17:18:25.639000Z,25,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00579723620124025101,0057972-36.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-11-09,2024-07-05T23:50:54.140000Z,4,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00579740620124025101,0057974-06.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-11-09,2024-07-06T00:12:23.866000Z,2,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00581127020124025101,0058112-70.2012.4.02.5101,283,Ação Penal - Procedimento Ordinário,Falsificação de documento público,2012-11-19,2024-07-06T00:12:52.035000Z,11,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00599521820124025101,0059952-18.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-12-07,2024-07-06T00:12:41.400000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00050293920124025102,0005029-39.2012.4.02.5102,279,Inquérito Policial,Contravenções Penais,2012-12-10,2024-07-05T22:16:50.499000Z,2,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00630934520124025101,0063093-45.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-12-14,2024-07-06T00:12:52.320000Z,4,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00627582620124025101,0062758-26.2012.4.02.5101,279,Inquérito Policial,Contravenções Penais,2012-12-19,2024-07-06T00:12:40.282000Z,2,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
04901339720134025101,0490133-97.2013.4.02.5101,279,Inquérito Policial,Contrabando ou descaminho ,2013-01-12,2024-07-06T00:36:43.483000Z,15,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
08001181720134025101,0800118-17.2013.4.02.5101,283,Ação Penal - Procedimento Ordinário,Estelionato Majorado ,2013-01-14,2026-06-13T13:57:21.559000Z,59,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00020029320134025108,0002002-93.2013.4.02.5108,283,Ação Penal - Procedimento Ordinário,Estelionato Majorado ,2013-01-22,2026-07-15T06:40:10.864000Z,42,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
08003087720134025101,0800308-77.2013.4.02.5101,283,Ação Penal - Procedimento Ordinário,Estelionato Majorado ; Uso de documento falso ,2013-01-23,2024-07-06T00:40:30.559000Z,16,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
08004724220134025101,0800472-42.2013.4.02.5101,283,Ação Penal - Procedimento Ordinário,Estelionato Majorado ; Inserção de dados falsos em sistema de informações ,2013-01-25,2024-07-06T00:41:01.090000Z,10,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
08005149120134025101,0800514-91.2013.4.02.5101,279,Inquérito Policial,Contravenções Penais,2013-01-28,2024-07-06T01:00:08.660000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
08005859320134025101,0800585-93.2013.4.02.5101,283,Ação Penal - Procedimento Ordinário,Crimes contra o Sistema Financeiro Nacional,2013-01-30,2024-11-13T21:42:11.597000Z,9,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
08006058420134025101,0800605-84.2013.4.02.5101,279,Inquérito Policial,Contravenções Penais,2013-01-30,2024-07-06T00:40:49.698000Z,2,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
08008907720134025101,0800890-77.2013.4.02.5101,279,Inquérito Policial,Contravenções Penais,2013-02-14,2024-07-06T00:40:41.146000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
08006456620134025101,0800645-66.2013.4.02.5101,279,Inquérito Policial,Estelionato Majorado ,2013-02-15,2024-07-06T00:40:49.971000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
08008101620134025101,0800810-16.2013.4.02.5101,279,Inquérito Policial,Contravenções Penais,2013-02-18,2024-07-06T00:40:51.242000Z,1,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
08008189020134025101,0800818-90.2013.4.02.5101,279,Inquérito Policial,Contravenções Penais,2013-02-18,2024-07-06T00:40:39.935000Z,2,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
08008612720134025101,0800861-27.2013.4.02.5101,279,Inquérito Policial,Contravenções Penais,2013-02-20,2024-07-06T00:40:19.397000Z,2,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
08009054620134025101,0800905-46.2013.4.02.5101,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ; Corrupção ativa ; Moeda Falsa / Assimilados,2013-02-22,2024-07-06T00:41:01.697000Z,22,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
08009106820134025101,0800910-68.2013.4.02.5101,279,Inquérito Policial,Crimes de Tráfico Ilícito e Uso Indevido de Drogas,2013-02-25,2024-07-06T00:41:03.502000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
00043137820134025101,0004313-78.2013.4.02.5101,279,Inquérito Policial,Contravenções Penais,2013-03-05,2024-07-05T21:42:04.816000Z,3,G1,Eletrônico,https://eproc.jfrj.jus.br/eproc/externo_controlador.php?acao=processo_consulta_publica
