numero_processo,numero_cnj,classe_codigo,classe_nome,assuntos,data_ajuizamento,ultima_atualizacao,qtd_movimentos,grau,formato,link_consulta
50043368520254047000,5004336-85.2025.4.04.7000,293,Crimes Ambientais,Comércio ou Posse Proveniente de Extração Ilegal de Madeira ,2025-02-03,2026-09-15T00:46:00.325000Z,240,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50043368520254047000&selOrigem=TRF&chkMostrarBaixados=1
50044009520254047000,5004400-95.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-03,2025-03-19T06:00:10.438Z,10,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50044009520254047000&selOrigem=TRF&chkMostrarBaixados=1
50044529120254047000,5004452-91.2025.4.04.7000,375,Carta Rogatória Criminal,Ameaça ; Auxílio Direto; Intimação,2025-02-03,2025-06-23T01:50:05.111Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50044529120254047000&selOrigem=TRF&chkMostrarBaixados=1
50044745220254047000,5004474-52.2025.4.04.7000,279,Inquérito Policial,Peculato,2025-02-04,2025-09-14T21:50:54.846Z,32,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50044745220254047000&selOrigem=TRF&chkMostrarBaixados=1
50047698920254047000,5004769-89.2025.4.04.7000,283,Ação Penal - Procedimento Ordinário,,2025-02-04,2026-09-10T11:25:33.825000Z,143,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50047698920254047000&selOrigem=TRF&chkMostrarBaixados=1
50047898020254047000,5004789-80.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-04,2025-03-19T11:10:18.557Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50047898020254047000&selOrigem=TRF&chkMostrarBaixados=1
50048105620254047000,5004810-56.2025.4.04.7000,355,Carta Precatória Criminal,Apropriação indébita; Intimação; Oitiva,2025-02-04,2025-05-15T00:03:25.368Z,13,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50048105620254047000&selOrigem=TRF&chkMostrarBaixados=1
50050460820254047000,5005046-08.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-04,2025-03-19T13:30:21.884Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50050460820254047000&selOrigem=TRF&chkMostrarBaixados=1
50050556720254047000,5005055-67.2025.4.04.7000,279,Inquérito Policial,Intolerância por Orientação Sexual,2025-02-04,2026-04-25T17:39:50.461000Z,29,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50050556720254047000&selOrigem=TRF&chkMostrarBaixados=1
50055034020254047000,5005503-40.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-05,2025-03-19T15:50:33.705Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50055034020254047000&selOrigem=TRF&chkMostrarBaixados=1
50055727220254047000,5005572-72.2025.4.04.7000,283,Ação Penal - Procedimento Ordinário,Moeda Falsa / Assimilados,2025-02-05,2026-08-04T07:23:25.076000Z,122,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50055727220254047000&selOrigem=TRF&chkMostrarBaixados=1
50056359720254047000,5005635-97.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Comércio ou Posse Proveniente de Extração Ilegal de Madeira ,2025-02-05,2025-03-19T18:20:09.494Z,12,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50056359720254047000&selOrigem=TRF&chkMostrarBaixados=1
50056385220254047000,5005638-52.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,"Comércio, Posse ou Tráfico Proveniente de Pesca Ilegal",2025-02-05,2025-03-19T18:20:16.738Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50056385220254047000&selOrigem=TRF&chkMostrarBaixados=1
50066085220254047000,5006608-52.2025.4.04.7000,14678,Acordo de Não Persecução Penal,Acordo de Não Persecução Penal; Furto ,2025-02-06,2026-09-13T08:31:27.433000Z,31,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50066085220254047000&selOrigem=TRF&chkMostrarBaixados=1
50066128920254047000,5006612-89.2025.4.04.7000,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ,2025-02-06,2026-09-10T05:44:52.482000Z,102,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50066128920254047000&selOrigem=TRF&chkMostrarBaixados=1
50067895320254047000,5006789-53.2025.4.04.7000,14678,Acordo de Não Persecução Penal,Contrabando ou descaminho ,2025-02-07,2025-06-22T15:40:10.151Z,13,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50067895320254047000&selOrigem=TRF&chkMostrarBaixados=1
50068293520254047000,5006829-35.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-07,2025-03-20T03:20:08.657Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50068293520254047000&selOrigem=TRF&chkMostrarBaixados=1
50068657720254047000,5006865-77.2025.4.04.7000,14678,Acordo de Não Persecução Penal,Acordo de Não Persecução Penal; Moeda Falsa / Assimilados,2025-02-07,2026-03-11T21:45:32.548000Z,64,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50068657720254047000&selOrigem=TRF&chkMostrarBaixados=1
50069064420254047000,5006906-44.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-07,2025-03-20T04:10:21.525Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50069064420254047000&selOrigem=TRF&chkMostrarBaixados=1
50069280520254047000,5006928-05.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-07,2025-03-20T04:30:14.064Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50069280520254047000&selOrigem=TRF&chkMostrarBaixados=1
50069896020254047000,5006989-60.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-09,2025-03-20T07:20:14.712Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50069896020254047000&selOrigem=TRF&chkMostrarBaixados=1
50070233520254047000,5007023-35.2025.4.04.7000,293,Crimes Ambientais,Destruição ou Degradação,2025-02-10,2026-09-10T14:06:15.638000Z,254,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50070233520254047000&selOrigem=TRF&chkMostrarBaixados=1
50070415620254047000,5007041-56.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Crimes de Tráfico Ilícito e Uso Indevido de Drogas,2025-02-10,2025-03-20T09:00:12.891Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50070415620254047000&selOrigem=TRF&chkMostrarBaixados=1
50070761620254047000,5007076-16.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-10,2025-03-20T10:20:04.558Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50070761620254047000&selOrigem=TRF&chkMostrarBaixados=1
50071238720254047000,5007123-87.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-10,2025-03-20T11:00:08.724Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50071238720254047000&selOrigem=TRF&chkMostrarBaixados=1
50072598420254047000,5007259-84.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-11,2025-03-20T13:40:04.172Z,10,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50072598420254047000&selOrigem=TRF&chkMostrarBaixados=1
50072806020254047000,5007280-60.2025.4.04.7000,327,Embargos de Terceiro Criminal,Crimes de Tráfico Ilícito e Uso Indevido de Drogas,2025-02-11,2026-05-10T12:41:57.979000Z,48,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50072806020254047000&selOrigem=TRF&chkMostrarBaixados=1
50074130520254047000,5007413-05.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-12,2025-03-21T15:55:08.516Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50074130520254047000&selOrigem=TRF&chkMostrarBaixados=1
50078521620254047000,5007852-16.2025.4.04.7000,14678,Acordo de Não Persecução Penal,Acordo de Não Persecução Penal,2025-02-13,2026-08-04T15:12:19.750000Z,32,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50078521620254047000&selOrigem=TRF&chkMostrarBaixados=1
50081328420254047000,5008132-84.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Crimes contra o Sistema Financeiro Nacional,2025-02-13,2025-03-21T16:00:49.726Z,8,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50081328420254047000&selOrigem=TRF&chkMostrarBaixados=1
50081718120254047000,5008171-81.2025.4.04.7000,327,Embargos de Terceiro Criminal,"Crimes de &quot;Lavagem&quot; ou Ocultação de Bens, Direitos ou Valores",2025-02-13,2025-09-16T01:12:40.158Z,26,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50081718120254047000&selOrigem=TRF&chkMostrarBaixados=1
50087156920254047000,5008715-69.2025.4.04.7000,283,Ação Penal - Procedimento Ordinário,Falsidade ideológica ,2025-02-14,2026-09-14T11:47:30.762000Z,131,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50087156920254047000&selOrigem=TRF&chkMostrarBaixados=1
50089149120254047000,5008914-91.2025.4.04.7000,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ,2025-02-17,2026-09-11T15:20:28.221000Z,72,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50089149120254047000&selOrigem=TRF&chkMostrarBaixados=1
50090880320254047000,5009088-03.2025.4.04.7000,283,Ação Penal - Procedimento Ordinário,Furto Qualificado ,2025-02-18,2026-09-11T03:28:56.678000Z,78,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50090880320254047000&selOrigem=TRF&chkMostrarBaixados=1
50091348920254047000,5009134-89.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Furto ,2025-02-18,2025-04-16T18:24:24.142Z,14,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50091348920254047000&selOrigem=TRF&chkMostrarBaixados=1
50091608720254047000,5009160-87.2025.4.04.7000,272,Representação Criminal/Notícia de Crime,Crimes contra o Sistema Financeiro Nacional,2025-02-18,2025-03-21T16:07:59.485Z,7,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50091608720254047000&selOrigem=TRF&chkMostrarBaixados=1
50093002420254047000,5009300-24.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-18,2025-03-21T16:08:18.341Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50093002420254047000&selOrigem=TRF&chkMostrarBaixados=1
50094223720254047000,5009422-37.2025.4.04.7000,283,Ação Penal - Procedimento Ordinário,Crimes contra a Ordem Tributária,2025-02-19,2026-09-13T09:17:40.427000Z,55,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50094223720254047000&selOrigem=TRF&chkMostrarBaixados=1
50094527220254047000,5009452-72.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-19,2025-03-21T16:09:14.038Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50094527220254047000&selOrigem=TRF&chkMostrarBaixados=1
50097670320254047000,5009767-03.2025.4.04.7000,283,Ação Penal - Procedimento Ordinário,Moeda Falsa / Assimilados,2025-02-20,2026-09-15T10:20:43.765000Z,157,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50097670320254047000&selOrigem=TRF&chkMostrarBaixados=1
50097965320254047000,5009796-53.2025.4.04.7000,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ,2025-02-20,2026-09-11T15:19:55.457000Z,74,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50097965320254047000&selOrigem=TRF&chkMostrarBaixados=1
50099212120254047000,5009921-21.2025.4.04.7000,272,Representação Criminal/Notícia de Crime,Corrupção ativa ,2025-02-21,2025-10-21T23:34:37.484Z,13,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50099212120254047000&selOrigem=TRF&chkMostrarBaixados=1
50099610320254047000,5009961-03.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-21,2025-04-17T03:30:59.246Z,9,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50099610320254047000&selOrigem=TRF&chkMostrarBaixados=1
50101195820254047000,5010119-58.2025.4.04.7000,355,Carta Precatória Criminal,Crimes contra o Sistema Financeiro Nacional; Intimação; Oitiva,2025-02-24,2025-06-22T12:00:04.798Z,10,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50101195820254047000&selOrigem=TRF&chkMostrarBaixados=1
50101334220254047000,5010133-42.2025.4.04.7000,283,Ação Penal - Procedimento Ordinário,Contrabando ou descaminho ,2025-02-24,2026-01-16T18:56:04.385000Z,47,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50101334220254047000&selOrigem=TRF&chkMostrarBaixados=1
50101663220254047000,5010166-32.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,,2025-02-24,2025-03-24T16:50:10.750Z,10,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50101663220254047000&selOrigem=TRF&chkMostrarBaixados=1
50102243520254047000,5010224-35.2025.4.04.7000,283,Ação Penal - Procedimento Ordinário,Crimes contra o Sistema Financeiro Nacional,2025-02-24,2026-09-12T02:36:15.999000Z,97,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50102243520254047000&selOrigem=TRF&chkMostrarBaixados=1
50103265720254047000,5010326-57.2025.4.04.7000,283,Ação Penal - Procedimento Ordinário,Crimes contra o Sistema Financeiro Nacional,2025-02-25,2026-09-13T07:37:55.070000Z,158,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50103265720254047000&selOrigem=TRF&chkMostrarBaixados=1
50103309420254047000,5010330-94.2025.4.04.7000,326,Restituição de Coisas Apreendidas,Execução Penal e de Medidas Alternativas,2025-02-25,2025-09-16T00:42:59.373Z,29,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50103309420254047000&selOrigem=TRF&chkMostrarBaixados=1
50103351920254047000,5010335-19.2025.4.04.7000,326,Restituição de Coisas Apreendidas,Execução Penal e de Medidas Alternativas,2025-02-25,2026-07-31T03:50:53.558000Z,53,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50103351920254047000&selOrigem=TRF&chkMostrarBaixados=1
50103846020254047000,5010384-60.2025.4.04.7000,14678,Acordo de Não Persecução Penal,Falsificação de documento público; Uso de documento falso ,2025-02-25,2025-08-04T06:10:06.535Z,25,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50103846020254047000&selOrigem=TRF&chkMostrarBaixados=1
50104070620254047000,5010407-06.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-25,2025-04-17T04:41:06.359Z,10,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50104070620254047000&selOrigem=TRF&chkMostrarBaixados=1
50104183520254047000,5010418-35.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-25,2025-04-17T04:41:04.824Z,8,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50104183520254047000&selOrigem=TRF&chkMostrarBaixados=1
50104200520254047000,5010420-05.2025.4.04.7000,1733,Procedimento Investigatório Criminal (PIC-MP) ,Contrabando ou descaminho ,2025-02-25,2025-04-17T05:11:06.171Z,10,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50104200520254047000&selOrigem=TRF&chkMostrarBaixados=1
50104608420254047000,5010460-84.2025.4.04.7000,300,Procedimento Especial da Lei Antitóxicos,Crimes de Tráfico Ilícito e Uso Indevido de Drogas,2025-02-25,2026-07-31T18:23:09.324000Z,75,G1,Eletrônico,https://www.trf4.jus.br/trf4/controlador.php?acao=consulta_processual_resultado_pesquisa&selForma=NU&txtValor=50104608420254047000&selOrigem=TRF&chkMostrarBaixados=1
